#Bin     	state   	CS(bin)
chr4_2484	Active  	1.09878
chr3_1702	Active  	1.13662
chr5_3104	Active  	1.12778
chr1_13  	Active  	1.16206
chr2_1045	Active  	1.02385
chr4_2485	Active  	1.10069
chr3_1703	Active  	1.13564
chr5_3105	Active  	1.14985
chr2_1046	Undetermined	0.965778
chr1_14  	Active  	1.14634
chr4_2486	Active  	1.08999
chr5_3106	Active  	1.15167
chr3_1704	Undetermined	0.890311
chr2_1047	Polycomb_like	1.09722
chr1_15  	Active  	1.15825
chr4_2487	Polycomb_like	1.14528
chr3_1705	Active  	1.14413
chr5_3107	Active  	1.12691
chr2_1048	Active  	1.10428
chr4_2488	Active  	1.07682
chr1_16  	Active  	1.1489
chr5_3108	Active  	1.11664
chr3_1706	Active  	1.14977
chr2_1049	Active  	1.14233
chr4_2489	Active  	1.12746
chr1_17  	Active  	1.12843
chr5_3109	Active  	1.11777
chr3_1707	Active  	1.1556
chr2_1050	Active  	1.09765
chr4_2490	Active  	1.11866
chr1_18  	Active  	1.14418
chr3_1708	Active  	1.14566
chr5_3110	Active  	1.13166
chr2_1051	Active  	1.04949
chr4_2491	Active  	1.12924
chr3_1709	Active  	1.13619
chr5_3111	Active  	1.12792
chr1_19  	Active  	1.14691
chr2_1052	Active  	1.10965
chr4_2492	not-assigned	0.983155
chr3_1710	Active  	1.13133
chr5_3112	Active  	1.13912
chr2_1053	Active  	1.11432
chr1_20  	Active  	1.15392
chr4_2493	Active  	1.04747
chr3_1711	Active  	1.15905
chr5_3113	Active  	1.13964
chr2_1054	Active  	1.02833
chr4_2494	Active  	1.07162
chr1_21  	Active  	1.14625
chr3_1712	Active  	1.1534
chr5_3114	Active  	1.13636
chr2_1055	Heterochromatin	1.31458
chr4_2495	Active  	1.05641
chr3_1713	Active  	1.15266
chr5_3115	Active  	1.14418
chr1_22  	Active  	1.12029
chr2_1056	Polycomb_like	1.43329
chr4_2496	Active  	1.08949
chr3_1714	Active  	1.15095
chr5_3116	Active  	1.13989
chr2_1057	Heterochromatin	0.945332
chr1_23  	Active  	1.12717
chr4_2497	Active  	1.09083
chr3_1715	Active  	1.16186
chr5_3117	Active  	1.15646
chr2_1058	Heterochromatin	1.28292
chr4_2498	Active  	1.10455
chr1_24  	Active  	1.14283
chr3_1716	Active  	1.15026
chr5_3118	Active  	1.1497
chr2_1059	Active  	0.975673
chr4_2499	Active  	1.09712
chr3_1717	Active  	1.15516
chr1_25  	Active  	1.16403
chr5_3119	Active  	1.14662
chr2_1060	not-assigned	1.08378
chr4_2500	Active  	1.10653
chr3_1718	Active  	1.13617
chr5_3120	Active  	1.14406
chr1_26  	Active  	1.15833
chr2_1061	Active  	0.990582
chr4_2501	Active  	1.10744
chr3_1719	Active  	1.14823
chr5_3121	Active  	1.13066
chr2_1062	Active  	0.938439
chr1_27  	Active  	1.15578
chr4_2502	Heterochromatin	0.774436
chr3_1720	Undetermined	0.887401
chr5_3122	Active  	1.12001
chr2_1063	Active  	1.03508
chr4_2503	Active  	1.07546
chr1_28  	Active  	1.15824
chr3_1721	Active  	1.158
chr2_1064	Active  	1.01285
chr5_3123	Polycomb_like	0.823964
chr4_2504	Active  	1.09663
chr1_29  	Active  	1.17087
chr3_1722	Active  	1.13977
chr5_3124	Active  	1.13568
chr2_1065	Active  	1.06929
chr4_2505	Polycomb_like	0.943203
chr3_1723	Active  	1.13038
chr1_30  	Active  	1.15255
chr2_1066	Active  	1.03521
chr5_3125	Active  	1.14402
chr4_2506	Active  	0.995201
chr3_1724	Active  	1.11435
chr5_3126	Active  	1.13465
chr2_1067	Active  	1.053
chr4_2507	Heterochromatin	1.52215
chr1_31  	Active  	1.13533
chr3_1725	Active  	1.14366
chr5_3127	Active  	1.14625
chr2_1068	Active  	1.03126
chr4_2508	Heterochromatin	2.20701
chr1_32  	not-assigned	0.83542
chr3_1726	Active  	1.14118
chr5_3128	Active  	1.12292
chr2_1069	Active  	1.03678
chr4_2509	Heterochromatin	1.98167
chr3_1727	Active  	1.14005
chr1_33  	Active  	1.15978
chr5_3129	Active  	1.12003
chr2_1070	Active  	1.03555
chr4_2510	Heterochromatin	2.35546
chr3_1728	Active  	1.12486
chr5_3130	Active  	1.12847
chr1_34  	Active  	1.14646
chr2_1071	Active  	1.06459
chr4_2511	Heterochromatin	2.15283
chr3_1729	Active  	1.13443
chr5_3131	Active  	1.13612
chr2_1072	Active  	1.03993
chr4_2512	Heterochromatin	1.91351
chr1_35  	Active  	1.15765
chr3_1730	Active  	1.13899
chr5_3132	Active  	1.1451
chr4_2513	not-assigned	0.953827
chr2_1073	Heterochromatin	1.16456
chr3_1731	Active  	1.13555
chr1_36  	Active  	1.15437
chr5_3133	Active  	1.11801
chr4_2514	Heterochromatin	1.97039
chr2_1074	Heterochromatin	0.938723
chr3_1732	Active  	1.13631
chr1_37  	not-assigned	0.847244
chr5_3134	Active  	1.12822
chr4_2515	Heterochromatin	1.94562
chr2_1075	Heterochromatin	1.00747
chr3_1733	Active  	1.15045
chr5_3135	Undetermined	1.05478
chr1_38  	Active  	1.15696
chr4_2516	Active  	0.968001
chr2_1076	Heterochromatin	0.86759
chr3_1734	Active  	1.14039
chr5_3136	Active  	1.13647
chr4_2517	Heterochromatin	1.71356
chr2_1077	Active  	1.03967
chr1_39  	Active  	1.14478
chr3_1735	Active  	1.13171
chr5_3137	Active  	1.13242
chr2_1078	Active  	1.04316
chr4_2518	Heterochromatin	1.28232
chr1_40  	Active  	1.14473
chr3_1736	Active  	1.11925
chr5_3138	Active  	1.14076
chr4_2519	Heterochromatin	1.39879
chr2_1079	Active  	1.03968
chr3_1737	Active  	1.08487
chr1_41  	Active  	1.13259
chr5_3139	Active  	1.13495
chr4_2520	Heterochromatin	1.44653
chr2_1080	not-assigned	1.07823
chr3_1738	Active  	1.10314
chr5_3140	Active  	1.12143
chr1_42  	Active  	1.11601
chr4_2521	Active  	0.953157
chr2_1081	Heterochromatin	1.04736
chr3_1739	Active  	1.11859
chr5_3141	Active  	1.11479
chr4_2522	Heterochromatin	2.02248
chr2_1082	Polycomb_like	1.29186
chr1_43  	Active  	1.14414
chr3_1740	Active  	1.12966
chr5_3142	Active  	1.11551
chr4_2523	Heterochromatin	2.01757
chr2_1083	Heterochromatin	1.11053
chr3_1741	not-assigned	0.865566
chr1_44  	Active  	1.15471
chr5_3143	Active  	1.10694
chr4_2524	Active  	0.972329
chr2_1084	Heterochromatin	0.972625
chr3_1742	Active  	1.14783
chr1_45  	Active  	1.14993
chr5_3144	Active  	1.0973
chr4_2525	Heterochromatin	1.35482
chr2_1085	Heterochromatin	1.26325
chr3_1743	Active  	1.15194
chr1_46  	Active  	1.14137
chr5_3145	Active  	1.10524
chr2_1086	Active  	1.00441
chr4_2526	Heterochromatin	1.64839
chr3_1744	Active  	1.14785
chr5_3146	Active  	1.11803
chr2_1087	Active  	1.00754
chr1_47  	Active  	1.1616
chr4_2527	Heterochromatin	1.59601
chr3_1745	Active  	1.13266
chr5_3147	Active  	1.10012
chr4_2528	Polycomb_like	1.21344
chr2_1088	Heterochromatin	0.819475
chr1_48  	Active  	1.14971
chr3_1746	Active  	1.14656
chr5_3148	Active  	1.07438
chr4_2529	Heterochromatin	1.28712
chr2_1089	Active  	0.974994
chr1_49  	Active  	1.14745
chr3_1747	Active  	1.13501
chr5_3149	Active  	1.0667
chr4_2530	Heterochromatin	1.15456
chr2_1090	Active  	0.983813
chr1_50  	Active  	1.13783
chr3_1748	Active  	1.14397
chr5_3150	Active  	1.09756
chr4_2531	Active  	1.00084
chr2_1091	Heterochromatin	1.01901
chr3_1749	Active  	1.15768
chr1_51  	Active  	1.12787
chr5_3151	Active  	1.08724
chr2_1092	Active  	1.04723
chr4_2532	Heterochromatin	0.975004
chr3_1750	Active  	1.1615
chr2_1093	Active  	0.979889
chr5_3152	not-assigned	0.976617
chr1_52  	Active  	1.13205
chr4_2533	Active  	1.0337
chr3_1751	Active  	1.15736
chr5_3153	Polycomb_like	1.08536
chr2_1094	Heterochromatin	1.7566
chr4_2534	Active  	1.06102
chr1_53  	Active  	1.12212
chr3_1752	Active  	1.15492
chr5_3154	Active  	1.06068
chr2_1095	Heterochromatin	1.65748
chr4_2535	Active  	1.07948
chr3_1753	Active  	1.15754
chr1_54  	Active  	1.12065
chr5_3155	Active  	1.08375
chr2_1096	Heterochromatin	1.41273
chr4_2536	Active  	1.08886
chr3_1754	Active  	1.15236
chr1_55  	Active  	1.11572
chr5_3156	Active  	1.09228
chr2_1097	Heterochromatin	1.89567
chr4_2537	Active  	1.07977
chr3_1755	Active  	1.13145
chr5_3157	Active  	1.11363
chr2_1098	Heterochromatin	2.07823
chr4_2538	Active  	1.02714
chr1_56  	Active  	1.13016
chr3_1756	Active  	1.11977
chr5_3158	Active  	1.13265
chr2_1099	Heterochromatin	1.86284
chr4_2539	Active  	1.05172
chr1_57  	Active  	1.13647
chr5_3159	not-assigned	0.881035
chr3_1757	Active  	1.13759
chr2_1100	Heterochromatin	2.21991
chr4_2540	Active  	1.03971
chr1_58  	Active  	1.15331
chr5_3160	Active  	1.14114
chr3_1758	Active  	1.14981
chr2_1101	Heterochromatin	1.26927
chr4_2541	Active  	1.00878
chr1_59  	Active  	1.14166
chr5_3161	Active  	1.14372
chr3_1759	Active  	1.15108
chr2_1102	Heterochromatin	1.76492
chr4_2542	Active  	0.994903
chr5_3162	Active  	1.14785
chr3_1760	Active  	1.15043
chr1_60  	Active  	1.15156
chr4_2543	not-assigned	1.05783
chr2_1103	Heterochromatin	1.68255
chr5_3163	Active  	1.14547
chr3_1761	Active  	1.13913
chr4_2544	Heterochromatin	0.896341
chr2_1104	Heterochromatin	1.93475
chr1_61  	Active  	1.13503
chr5_3164	Active  	1.15122
chr2_1105	Heterochromatin	1.9038
chr4_2545	Active  	1.01723
chr3_1762	Active  	1.14402
chr1_62  	Active  	1.15311
chr5_3165	Active  	1.15318
chr4_2546	Polycomb_like	0.949623
chr2_1106	Heterochromatin	1.52362
chr3_1763	Active  	1.14692
chr1_63  	Active  	1.15148
chr5_3166	Active  	1.16228
chr4_2547	Active  	0.878293
chr2_1107	Heterochromatin	1.70583
chr3_1764	Active  	1.12341
chr5_3167	Active  	1.15639
chr4_2548	Heterochromatin	2.30807
chr1_64  	Polycomb_like	0.701202
chr2_1108	Heterochromatin	2.02565
chr3_1765	Active  	1.10881
chr4_2549	Heterochromatin	2.37294
chr2_1109	Heterochromatin	1.79482
chr5_3168	Active  	1.14405
chr3_1766	Active  	1.10524
chr1_65  	Active  	1.16476
chr4_2550	Heterochromatin	2.28745
chr5_3169	Active  	1.14955
chr2_1110	not-assigned	0.861655
chr3_1767	Active  	1.10626
chr1_66  	Active  	1.13026
chr5_3170	Active  	1.13838
chr2_1111	Heterochromatin	1.40592
chr4_2551	Heterochromatin	
chr3_1768	Polycomb_like	0.721465
chr1_67  	Active  	1.14986
chr2_1112	Active  	0.96521
chr5_3171	Active  	1.14728
chr4_2552	Heterochromatin	
chr3_1769	Active  	1.13209
chr1_68  	Active  	1.15359
chr2_1113	Active  	0.881316
chr5_3172	Active  	1.13819
chr4_2553	Heterochromatin	2.05901
chr3_1770	Active  	1.13751
chr2_1114	Active  	0.905287
chr5_3173	Active  	1.15655
chr4_2554	Heterochromatin	2.6953
chr1_69  	Active  	1.15233
chr3_1771	Active  	1.14382
chr2_1115	Heterochromatin	1.85107
chr4_2555	Heterochromatin	2.80249
chr5_3174	Active  	1.11914
chr3_1772	Active  	1.14419
chr1_70  	Active  	1.15874
chr2_1116	Heterochromatin	1.48623
chr4_2556	Heterochromatin	2.40685
chr5_3175	Active  	1.14624
chr3_1773	Active  	1.11424
chr1_71  	Active  	1.1546
chr2_1117	Heterochromatin	3.11404
chr4_2557	Heterochromatin	2.50767
chr5_3176	Active  	1.15186
chr3_1774	Active  	1.10575
chr2_1118	Heterochromatin	2.49257
chr4_2558	Heterochromatin	2.39124
chr1_72  	Active  	1.17341
chr5_3177	Active  	1.1179
chr3_1775	Active  	1.10049
chr2_1119	Heterochromatin	2.38279
chr4_2559	Heterochromatin	2.77074
chr3_1776	Active  	1.10216
chr5_3178	Active  	1.13179
chr1_73  	Active  	1.16531
chr2_1120	Heterochromatin	2.23976
chr4_2560	Heterochromatin	
chr3_1777	Active  	1.11358
chr5_3179	not-assigned	0.838191
chr1_74  	Active  	1.16207
chr4_2561	Heterochromatin	
chr2_1121	Heterochromatin	2.0858
chr3_1778	Active  	1.11206
chr5_3180	Active  	1.11302
chr1_75  	Active  	1.1489
chr3_1779	Active  	1.1381
chr4_2562	Heterochromatin	2.77142
chr2_1122	Heterochromatin	2.34015
chr5_3181	Active  	1.09311
chr1_76  	Active  	1.16064
chr3_1780	Active  	1.11133
chr4_2563	Heterochromatin	2.6645
chr2_1123	Heterochromatin	2.25313
chr5_3182	Active  	1.13475
chr3_1781	Active  	1.13382
chr2_1124	Heterochromatin	2.21154
chr4_2564	Heterochromatin	2.51638
chr1_77  	Active  	1.14652
chr5_3183	Active  	1.14623
chr2_1125	Heterochromatin	2.18944
chr4_2565	Heterochromatin	2.15389
chr3_1782	Active  	1.14411
chr5_3184	Active  	1.12385
chr1_78  	Active  	1.14358
chr2_1126	Heterochromatin	
chr4_2566	Heterochromatin	2.23619
chr3_1783	Active  	1.13382
chr5_3185	Active  	1.14797
chr1_79  	Active  	1.1486
chr2_1127	Active  	
chr4_2567	Heterochromatin	2.42246
chr3_1784	Active  	1.14718
chr5_3186	Active  	1.13932
chr1_80  	Active  	1.14758
chr4_2568	Heterochromatin	2.52684
chr2_1128	Heterochromatin	
chr3_1785	Active  	1.14411
chr5_3187	Active  	1.15502
chr2_1129	Heterochromatin	
chr4_2569	Heterochromatin	2.64234
chr3_1786	Active  	1.14099
chr1_81  	Active  	1.1511
chr5_3188	Active  	1.1559
chr2_1130	Heterochromatin	
chr4_2570	Heterochromatin	2.72701
chr3_1787	Active  	1.1367
chr5_3189	Active  	1.15964
chr1_82  	Active  	1.14864
chr4_2571	Heterochromatin	2.44305
chr2_1131	Heterochromatin	1.88296
chr3_1788	Active  	1.14734
chr5_3190	Active  	1.14598
chr1_83  	Active  	1.12049
chr4_2572	Heterochromatin	2.65348
chr3_1789	Active  	1.13295
chr2_1132	Active  	0.775814
chr5_3191	Active  	1.14313
chr1_84  	not-assigned	0.890588
chr3_1790	Polycomb_like	0.795391
chr4_2573	Heterochromatin	2.6069
chr2_1133	Heterochromatin	2.68435
chr5_3192	not-assigned	0.926845
chr4_2574	Heterochromatin	2.40254
chr3_1791	Active  	1.1432
chr2_1134	Heterochromatin	2.41259
chr1_85  	Active  	1.10503
chr5_3193	Active  	1.13566
chr4_2575	Heterochromatin	2.19852
chr2_1135	Heterochromatin	4.51549
chr3_1792	Active  	1.14335
chr1_86  	Active  	1.10346
chr5_3194	Active  	1.13118
chr4_2576	Heterochromatin	1.80527
chr2_1136	Heterochromatin	2.34291
chr3_1793	Active  	1.14076
chr5_3195	Active  	1.13883
chr1_87  	Active  	1.12202
chr2_1137	Heterochromatin	2.05137
chr4_2577	Heterochromatin	2.26081
chr3_1794	Active  	1.14569
chr5_3196	Active  	1.13717
chr1_88  	Active  	1.12833
chr4_2578	Heterochromatin	2.63377
chr2_1138	Heterochromatin	2.99534
chr3_1795	Active  	1.15466
chr5_3197	Polycomb_like	0.731844
chr4_2579	Heterochromatin	1.92352
chr2_1139	Heterochromatin	2.36948
chr1_89  	Active  	1.15544
chr3_1796	Active  	1.14224
chr5_3198	Active  	1.13782
chr2_1140	Heterochromatin	2.25177
chr4_2580	Heterochromatin	2.19287
chr3_1797	Active  	1.13772
chr1_90  	Active  	1.14327
chr5_3199	Active  	1.15231
chr2_1141	Heterochromatin	1.86592
chr4_2581	Heterochromatin	2.39033
chr3_1798	Undetermined	1.02716
chr5_3200	Active  	1.15996
chr1_91  	Active  	1.13256
chr3_1799	Active  	1.11065
chr4_2582	Heterochromatin	2.7003
chr2_1142	Heterochromatin	2.47625
chr5_3201	Active  	1.14437
chr1_92  	Active  	1.10013
chr3_1800	Active  	1.1433
chr4_2583	Heterochromatin	2.36875
chr2_1143	Heterochromatin	2.5909
chr5_3202	Active  	1.1407
chr3_1801	Active  	1.13747
chr4_2584	Heterochromatin	2.09137
chr2_1144	Heterochromatin	2.64394
chr1_93  	Active  	1.11304
chr5_3203	Active  	1.12887
chr3_1802	Active  	1.14023
chr4_2585	Heterochromatin	4.14025
chr2_1145	Heterochromatin	2.48833
chr1_94  	Undetermined	0.997289
chr5_3204	Active  	1.13306
chr3_1803	Active  	1.15296
chr4_2586	Heterochromatin	3.9668
chr2_1146	Heterochromatin	2.71877
chr5_3205	Active  	1.13643
chr1_95  	Active  	1.1378
chr3_1804	Active  	1.14679
chr4_2587	Heterochromatin	3.78568
chr2_1147	Heterochromatin	2.2896
chr5_3206	Active  	1.13357
chr1_96  	Active  	1.13547
chr3_1805	Active  	1.15666
chr4_2588	Heterochromatin	2.77425
chr2_1148	Heterochromatin	1.50727
chr5_3207	Active  	1.14039
chr3_1806	Active  	1.1443
chr1_97  	Active  	1.13007
chr4_2589	Heterochromatin	1.82251
chr2_1149	Heterochromatin	1.89035
chr5_3208	Active  	1.13767
chr3_1807	Active  	1.14742
chr4_2590	Heterochromatin	1.88017
chr2_1150	Heterochromatin	1.83315
chr1_98  	Active  	1.13611
chr5_3209	Active  	1.13714
chr3_1808	Polycomb_like	0.69831
chr4_2591	Heterochromatin	2.2157
chr2_1151	Active  	0.897792
chr1_99  	Active  	1.14931
chr5_3210	Active  	1.11843
chr3_1809	Active  	1.14591
chr4_2592	Heterochromatin	2.34684
chr2_1152	Heterochromatin	1.9602
chr5_3211	not-assigned	0.818589
chr1_100 	Active  	1.14577
chr3_1810	Active  	1.13906
chr4_2593	Heterochromatin	1.98101
chr2_1153	Heterochromatin	1.7309
chr5_3212	Active  	1.13555
chr1_101 	Active  	1.12474
chr3_1811	Active  	1.14137
chr4_2594	not-assigned	0.960292
chr2_1154	Heterochromatin	2.36498
chr5_3213	Active  	1.13818
chr1_102 	Active  	1.14379
chr3_1812	Active  	1.12162
chr4_2595	Heterochromatin	2.51549
chr2_1155	Heterochromatin	1.57518
chr5_3214	Active  	1.13918
chr1_103 	Active  	1.13996
chr3_1813	Active  	1.12496
chr4_2596	Heterochromatin	2.39454
chr2_1156	Heterochromatin	2.07897
chr5_3215	not-assigned	0.840103
chr4_2597	Heterochromatin	2.04391
chr1_104 	Active  	1.14881
chr3_1814	Active  	1.12136
chr2_1157	Heterochromatin	1.85011
chr5_3216	Active  	1.14906
chr4_2598	Heterochromatin	2.41068
chr3_1815	Active  	1.13018
chr1_105 	Active  	1.14925
chr2_1158	not-assigned	0.864793
chr4_2599	Heterochromatin	2.36493
chr5_3217	Active  	1.14444
chr3_1816	Active  	1.13721
chr2_1159	Heterochromatin	1.32362
chr1_106 	Active  	1.1329
chr5_3218	Active  	1.13272
chr4_2600	Heterochromatin	2.57615
chr3_1817	Active  	1.13257
chr2_1160	Heterochromatin	1.73401
chr1_107 	Active  	1.12632
chr5_3219	Active  	1.1512
chr4_2601	Heterochromatin	2.6146
chr3_1818	Active  	1.15171
chr2_1161	Heterochromatin	2.09109
chr1_108 	Active  	1.15083
chr4_2602	Heterochromatin	2.46936
chr5_3220	Active  	1.15165
chr3_1819	Active  	1.13289
chr2_1162	Heterochromatin	1.5683
chr1_109 	Active  	1.14559
chr5_3221	Active  	1.15616
chr4_2603	Heterochromatin	2.41611
chr3_1820	Active  	1.11364
chr2_1163	Heterochromatin	1.72102
chr1_110 	Active  	1.15412
chr4_2604	Heterochromatin	2.44634
chr5_3222	Active  	1.15129
chr3_1821	Active  	1.14741
chr2_1164	Heterochromatin	1.43538
chr1_111 	Active  	1.14615
chr4_2605	Heterochromatin	2.58807
chr5_3223	Active  	1.14825
chr3_1822	Active  	1.14481
chr2_1165	Heterochromatin	2.01678
chr1_112 	Active  	1.13707
chr4_2606	Heterochromatin	2.66683
chr5_3224	Active  	1.14396
chr3_1823	Active  	1.13775
chr2_1166	Heterochromatin	2.15724
chr1_113 	Active  	1.14351
chr4_2607	Heterochromatin	2.37552
chr5_3225	Active  	1.15728
chr3_1824	Active  	1.12546
chr2_1167	Heterochromatin	2.27159
chr1_114 	Active  	1.12673
chr4_2608	Heterochromatin	1.97294
chr5_3226	Active  	1.14076
chr3_1825	Active  	1.13545
chr2_1168	Heterochromatin	2.11947
chr1_115 	Active  	1.12042
chr4_2609	Heterochromatin	2.1054
chr5_3227	Active  	1.15502
chr3_1826	Active  	1.1427
chr2_1169	Heterochromatin	1.94413
chr1_116 	Active  	1.12225
chr5_3228	Active  	1.13757
chr4_2610	Heterochromatin	2.24116
chr3_1827	Active  	1.15906
chr2_1170	Heterochromatin	2.17595
chr1_117 	Undetermined	0.973693
chr5_3229	Active  	1.13637
chr4_2611	Heterochromatin	2.38195
chr3_1828	not-assigned	0.881598
chr2_1171	Heterochromatin	2.50054
chr1_118 	Active  	1.12631
chr5_3230	Active  	1.14476
chr4_2612	Heterochromatin	2.38814
chr3_1829	Active  	1.1416
chr2_1172	Heterochromatin	1.92944
chr5_3231	Active  	1.12104
chr1_119 	Active  	1.13135
chr4_2613	Heterochromatin	2.43212
chr3_1830	Active  	1.1539
chr2_1173	Active  	0.89474
chr5_3232	Active  	1.11496
chr1_120 	Active  	1.14271
chr4_2614	Heterochromatin	1.54448
chr3_1831	Active  	1.14744
chr2_1174	Heterochromatin	1.9399
chr5_3233	Active  	1.096
chr4_2615	Heterochromatin	1.56544
chr1_121 	Active  	1.13356
chr3_1832	Active  	1.13041
chr2_1175	Heterochromatin	1.50953
chr5_3234	Active  	1.10248
chr4_2616	not-assigned	0.926069
chr2_1176	Heterochromatin	2.05554
chr3_1833	Active  	1.08116
chr1_122 	Active  	1.1341
chr5_3235	Active  	1.10398
chr4_2617	Heterochromatin	1.86294
chr2_1177	Heterochromatin	1.60936
chr3_1834	Polycomb_like	1.06148
chr1_123 	Active  	1.10621
chr5_3236	not-assigned	0.903516
chr4_2618	Heterochromatin	2.22473
chr2_1178	Heterochromatin	2.57586
chr3_1835	Active  	1.08168
chr1_124 	Active  	1.10869
chr5_3237	Polycomb_like	0.916778
chr4_2619	Heterochromatin	2.20674
chr2_1179	Heterochromatin	2.19023
chr3_1836	Active  	1.13754
chr1_125 	Active  	1.14622
chr5_3238	Active  	1.13456
chr4_2620	Heterochromatin	1.90197
chr2_1180	Heterochromatin	1.99714
chr3_1837	Active  	1.13905
chr1_126 	Active  	1.12573
chr5_3239	Active  	1.12793
chr4_2621	Heterochromatin	1.81678
chr2_1181	Heterochromatin	1.67054
chr3_1838	Active  	1.15323
chr5_3240	Active  	1.14355
chr1_127 	Active  	1.11871
chr4_2622	Heterochromatin	1.70922
chr2_1182	Heterochromatin	1.53818
chr3_1839	Active  	1.13008
chr5_3241	Active  	1.12968
chr1_128 	not-assigned	0.893244
chr4_2623	Heterochromatin	1.57576
chr2_1183	Heterochromatin	1.3229
chr3_1840	Active  	1.15018
chr1_129 	not-assigned	0.858651
chr5_3242	Undetermined	0.960456
chr4_2624	Heterochromatin	1.6399
chr2_1184	Heterochromatin	1.80223
chr3_1841	Active  	1.15898
chr1_130 	Active  	1.11363
chr4_2625	Heterochromatin	1.82601
chr5_3243	Active  	1.11904
chr2_1185	Heterochromatin	1.67904
